title,artist,year,explicit,styles,languages,title_artist,synced,d_id,d_song,d_isrc,d_release,d_explicit,d_bpm,d_artist,d_album_id,d_album,d_art
Something In The Water,Carrie Underwood,2014,0,"Christian,Country",English,something in the water - carrie underwood,0,90944575,Something in the Water,GBCTA1400010,2014-12-09,False,140.2,Carrie Underwood,9223095,Greatest Hits: Decade #1,https://e-cdns-images.dzcdn.net/images/cover/3d53a821f232b3c0a749d5910af9b501/250x250-000000-80-0-0.jpg
Learning to Fly,Solomon's Wish,2000,0,"Pop,Rock",English,learning to fly - solomon's wish,0,0,0,0,0,0,0.0,0,0,0,0
I Got More,Cole Deggs & The Lonesome,2007,0,Country,English,i got more - cole deggs & the lonesome,0,0,0,0,0,0,0.0,0,0,0,0
Mendocino County Line,Willie Nelson,2002,0,"Country,Duet",English,mendocino county line - willie nelson,0,2288449,Mendocino County Line,USIR20110477,2004-05-04,False,133.4,Willie Nelson,228332,Greatest Hits,https://e-cdns-images.dzcdn.net/images/cover/a7e9126bf28ca82e8e1ed676e202ebdd/250x250-000000-80-0-0.jpg
Big Iron,Marty Robbins,1959,0,"Country,Oldies",English,big iron - marty robbins,0,850955,Big Iron,USSM15901193,2005-09-05,False,116.1,Marty Robbins,97701,Gunfighter Ballads And Trail Songs,https://e-cdns-images.dzcdn.net/images/cover/dc277c198be4dc0cda614fa0853b0137/250x250-000000-80-0-0.jpg
Nadine,Chuck Berry,1964,0,Rock 'n Roll,English,nadine - chuck berry,0,4006612,Nadine,GBRED0703416,2008-03-31,False,140.0,Chuck Berry,373709,Johnny Be Goode,https://cdns-images.dzcdn.net/images/cover/a4ec30e6240c504117d554f6a2c32b0f/250x250-000000-80-0-0.jpg
January,Pilot,1975,0,"Pop,Rock",English,january - pilot,0,4519883,January (Re-Recorded / Remastered),USA560962989,2009-05-01,False,121.6,Pilot,417287,Soft Rock of The '70s & '80s (Re-Recorded / Remastered Versions),https://e-cdns-images.dzcdn.net/images/cover/324afb87d59e9a6914f6171e83eb9cc6/250x250-000000-80-0-0.jpg
I'm Your Captain (Closer to Home),Grand Funk Railroad,1970,0,Rock,English,i'm your captain (closer to home) - grand funk railroad,0,3137547,I'm Your Captain/Closer To Home,USCA20200352,2006-04-04,False,189.7,Grand Funk Railroad,302258,Greatest Hits: Grand Funk Railroad (Remastered),https://cdns-images.dzcdn.net/images/cover/81a63cdc5ea1f23a337f761b716fdcc7/250x250-000000-80-0-0.jpg
Feeling Good,Michael Bublé,2006,0,Jazz,English,feeling good - michael bublé,0,15975938,Feeling Good,USRE10401889,2011-12-02,False,115.5,Michael Bublé,1481261,The Michael Bublé Collection,https://cdns-images.dzcdn.net/images/cover/bf19db217104e071959df840b38ee0e5/250x250-000000-80-0-0.jpg
We Want Fun,Andrew W.K.,2002,0,"Hard/Metal,Rock",English,we want fun - andrew w.k.,0,538645902,We Want Fun (Album Version),USIR20200828,2018-08-10,False,0.0,Andrew W.K.,70198622,Jackass The Movie (Original Motion Picture Soundtrack/Reissue),https://cdns-images.dzcdn.net/images/cover/32a940a2b1993a21548a2b2debc57119/250x250-000000-80-0-0.jpg
My Life Is Going On (Burak Yeter Remix),Cecilia Krull,2018,0,"Electro,Pop",English,my life is going on (burak yeter remix) - cecilia krull,0,705548522,My Life Is Going On (Burak Yeter Remix),ES84S1800644,2019-06-20,False,99.86,Burak Yeter,102196142,My Life Is Going On (Burak Yeter Remix),https://e-cdns-images.dzcdn.net/images/cover/e2e6ee383bf23a7aaeecc19d99c9dd50/250x250-000000-80-0-0.jpg
Be Patient with My Love,Lady Antebellum,2019,0,"Love,Pop,Country,Rock",English,be patient with my love - lady antebellum,0,802272422,Be Patient With My Love,QM3E21914022,2019-11-15,False,0.0,Lady Antebellum,118370682,Ocean,https://e-cdns-images.dzcdn.net/images/cover/4602faec5d88f9eeaca2baf6480e45e1/250x250-000000-80-0-0.jpg
Word Up!,Little Mix,2014,0,"Teen pop,Pop",English,word up! - little mix,0,75248337,Word Up!,GBHMU1400002,2014-03-14,False,118.0,Little Mix,7446818,Word Up! (iTunes Exclusive),https://cdns-images.dzcdn.net/images/cover/3ba9f77a85ee0eef8e3029b9ca26198c/250x250-000000-80-0-0.jpg
Something Stupid,Michael Bublé,2013,0,"Love,Duet",English,something stupid - michael bublé,0,66379621,Something Stupid (feat. Reese Witherspoon),USRE11300070,2013-04-12,False,98.9,Michael Bublé,6493686,To Be Loved,https://e-cdns-images.dzcdn.net/images/cover/0f01d52a4ae130d7467a52755ad47540/250x250-000000-80-0-0.jpg
I Want You,Juliet Roberts,1994,0,"Soul,Disco",English,i want you - juliet roberts,0,0,0,0,0,0,0.0,0,0,0,0
Angie Baby,Helen Reddy,1974,0,"Soft rock,Pop",English,angie baby - helen reddy,0,3127733,Angie Baby,USCA28700778,1987-05-21,False,159.0,Helen Reddy,301632,Helen Reddy's Greatest Hits (And More),https://e-cdns-images.dzcdn.net/images/cover/ff1222da541892c37d44b4cc592afa77/250x250-000000-80-0-0.jpg
